Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
4      6      10     -0.008694           -71.633333          -71.624639          -0.273508      0.287928       0.001354       
6      4      10     -0.003656           -67.280093          -67.276437          -0.035779      0.082679       0.00062        
18     12     30     -0.007777           -215.226238         -215.218461         0.122472       0.212347       0.004538       
24     18     42     -0.001757           -321.711078         -321.709321         -0.033103      0.102586       0.000889       
54     72     126    -2.5e-05            -1063.490727        -1063.490702        0.017776       0.153686       5.365089       
56     66     122    0.007771            -1014.260033        -1014.267804        0.023749       0.258471       8.947918       
64     90     154    -0.001305           -1265.41519         -1265.413885        0.038329       0.280239       14.158218      
66     90     156    -0.000984           -1276.609517        -1276.608533        0.012444       0.271759       14.1136        
68     154    222    -0.000614           -1524.427334        -1524.42672         0.079623       0.298432       28.301584      
70     88     158    -0.001282           -1274.620145        -1274.618863        0.034239       0.181495       9.129115       
70     148    218    -0.006161           -1555.899224        -1555.893063        0.070556       0.27625        24.762093      
72     90     162    -2.3e-05            -1298.508774        -1298.508751        0.021109       0.192787       10.37109       
74     88     162    -0.002724           -1282.154571        -1282.151847        0.020572       0.131097       6.666142       
76     90     166    -0.000173           -1304.36411         -1304.363937        0.012998       0.133205       7.332588       
78     140    218    -0.008635           -1652.289568        -1652.280933        0.01449        0.104688       8.893569       
78     160    238    0.034873            -1698.711729        -1698.746602        0.018729       -0.148335      -15.819579     
84     162    246    -0.000801           -1785.124832        -1785.124031        0.010405       -0.095895      -10.63232      
86     158    244    0.018487            -1796.835813        -1796.8543          0.013799       0.172123       18.442718      
86     200    286    -0.005242           -1857.447889        -1857.442647        0.026933       0.125007       16.897462      
86     202    288    -0.006788           -1856.550022        -1856.543234        0.031104       0.137766       18.903028      
88     112    200    -0.005471           -1528.948441        -1528.94297         -0.026658      0.172521       13.006286      
88     132    220    -0.273617           -1694.919986        -1694.646369        0.061186       0.111295       9.197042       
88     134    222    -0.451957           -1707.087132        -1706.635175        0.08298        0.137665       12.003664      
88     136    224    -0.419634           -1718.624929        -1718.205295        0.090439       0.15538        14.163015      
88     138    226    -0.263382           -1729.65018         -1729.386798        0.085477       0.170522       16.068386      
88     140    228    -0.083027           -1740.261821        -1740.178794        0.05696        0.184674       17.772604      
88     154    242    0.020119            -1803.288269        -1803.308388        0.013287       0.213331       22.754148      
88     162    250    0.017371            -1830.594553        -1830.611924        0.014626       0.178923       19.983504      
88     170    258    -0.005433           -1853.347429        -1853.341996        0.012766       0.119954       13.890878      
88     194    282    -0.062205           -1890.231389        -1890.169184        0.023603       0.096081       12.335674      
88     196    284    -0.065466           -1890.750611        -1890.685145        0.062135       0.125328       16.361486      
88     198    286    -0.088223           -1891.042426        -1890.954203        0.075261       0.142914       19.119944      
88     200    288    -0.057001           -1891.094113        -1891.037112        0.073964       0.156355       21.483249      
88     202    290    -0.021628           -1890.962263        -1890.940635        0.059867       0.167186       23.550058      
90     132    222    -0.589858           -1702.191143        -1701.601285        0.093178       0.134611       11.635338      
90     134    224    -0.718998           -1715.483865        -1714.764867        0.112493       0.158518       14.586868      
90     136    226    -0.538711           -1728.147396        -1727.608685        0.121505       0.177581       17.171149      
90     138    228    -0.172881           -1740.269788        -1740.096907        0.109933       0.195954       19.432774      
90     156    246    0.01936             -1828.993129        -1829.012489        0.018438       0.230397       25.268808      
90     158    248    0.018887            -1836.618769        -1836.637656        0.035677       0.224758       24.617566      
90     194    284    -0.485381           -1920.153997        -1919.668616        0.109124       0.13097        15.679076      
90     196    286    -0.48786            -1921.42735         -1920.93949         0.123036       0.149374       19.809434      
90     198    288    -0.360744           -1922.401834        -1922.04109         0.128069       0.16435        23.042951      
90     200    290    -0.146416           -1923.151073        -1923.004657        0.113118       0.174566       25.757415      
90     202    292    -0.004195           -1923.733015        -1923.72882         0.068053       0.186422       27.990691      
92     120    212    0.012331            -1606.35934         -1606.371671        0.012881       -0.10402       -9.059647      
92     130    222    -0.308065           -1692.697026        -1692.388961        0.069393       0.104049       8.215604       
92     132    224    -0.564263           -1707.583417        -1707.019154        0.105769       0.149193       13.932045      
92     134    226    -0.52675            -1721.946971        -1721.420221        0.124289       0.176331       17.434681      
92     136    228    -0.152397           -1735.753243        -1735.600846        0.118657       0.200605       20.365615      
92     160    252    0.034046            -1861.973027        -1862.007073        0.040079       0.238341       26.851073      
92     162    254    0.01537             -1869.509885        -1869.525255        0.059105       0.232816       25.815003      
92     164    256    0.004949            -1876.704812        -1876.709761        0.050434       0.218142       24.603277      
92     166    258    -0.01474            -1883.598782        -1883.584042        0.050848       0.205446       23.187363      
92     170    262    0.019426            -1896.53197         -1896.551396        0.013443       0.159326       19.231247      
92     192    284    -0.521005           -1946.10192         -1945.580915        0.107996       0.112686       1e-06          
92     194    286    -0.676182           -1948.281865        -1947.605683        0.133532       0.142078       19.111399      
92     196    288    -0.500756           -1950.227228        -1949.726472        0.145238       0.163718       24.246303      
92     198    290    -0.153594           -1951.943621        -1951.790027        0.131853       0.180941       27.693475      
94     120    214    0.012176            -1605.197844        -1605.21002         0.019516       -0.117692      -10.596755     
94     130    224    -0.268619           -1695.53196         -1695.263341        0.076787       0.111247       10.053516      
94     132    226    -0.268127           -1711.28613         -1711.018003        0.102665       0.168745       17.153499      
94     144    238    0.011976            -1797.151912        -1797.163888        0.018739       0.271259       28.281445      
94     160    254    0.005845            -1878.732646        -1878.738491        0.045852       0.265956       30.512865      
94     162    256    0.011904            -1886.827465        -1886.839369        0.051297       0.259548       29.957072      
94     168    262    0.003638            -1908.984832        -1908.98847         0.055366       0.221182       25.743714      
94     170    264    0.016382            -1915.789603        -1915.805985        0.067434       0.203003       22.734836      
94     192    286    -0.721177           -1971.933752        -1971.212575        0.119434       0.11035        0.31623        
94     194    288    -0.480413           -1974.64053         -1974.160117        0.144675       0.148427       25.76913       
96     130    226    -0.115837           -1696.824681        -1696.708844        0.091993       0.119772       12.760996      
96     158    254    0.020163            -1884.813606        -1884.833769        0.022836       0.28298        33.018935      
96     164    260    -0.001362           -1911.225224        -1911.223862        0.056106       0.287392       34.334856      
96     166    262    0.024711            -1919.182611        -1919.207322        0.066432       0.290088       34.888157      
96     192    288    -0.828262           -1996.218565        -1995.390303        0.121346       0.098194       11.540631      
96     220    316    -0.001099           -2024.169724        -2024.168625        0.073952       0.276646       45.891962      
96     238    334    -0.002825           -2014.202559        -2014.199734        0.102762       0.298639       54.114179      
98     160    258    0.009621            -1907.700945        -1907.710566        0.061904       0.29799        35.081035      
98     162    260    0.021644            -1917.19846         -1917.220104        0.120153       0.316346       35.861547      
98     188    286    -0.043636           -2011.219425        -2011.175789        0.029795       0.00447        0.005353       
98     190    288    -0.41278            -2015.163671        -2014.750891        0.076607       0.029189       -0.011797      
98     192    290    -0.104794           -2019.004362        -2018.899568        0.119323       0.08126        40.950842      
98     218    316    -0.009623           -2055.551974        -2055.542351        0.096789       0.285984       46.147589      
98     236    334    -0.015979           -2052.15398         -2052.138001        0.117407       0.313378       56.16853       
98     246    344    -0.009707           -2043.558322        -2043.548615        0.01806        0.311819       63.507939      
100    158    258    0.011459            -1908.707148        -1908.718607        0.031659       0.294454       35.189577      
100    162    262    0.035656            -1929.656224        -1929.69188         0.116201       0.317746       36.719168      
100    188    288    -0.226872           -2031.325499        -2031.098627        0.059223       0.017878       -0.029005      
100    190    290    -0.210524           -2035.879967        -2035.669443        0.08765        0.032311       46.686585      
100    216    316    -0.001858           -2083.616489        -2083.614631        0.108977       0.288422       45.469259      
100    228    328    -0.020556           -2088.163165        -2088.142609        0.122685       0.303856       51.22153       
100    230    330    -0.012605           -2088.036952        -2088.024347        0.107531       0.301959       52.670287      
100    232    332    -0.030879           -2087.708358        -2087.677479        0.108122       0.305388       54.028902      
100    234    334    -0.027064           -2087.17862         -2087.151556        0.105605       0.308249       55.329327      
100    236    336    -0.016749           -2086.463313        -2086.446564        0.102558       0.311373       56.892017      
100    238    338    -0.018601           -2085.540876        -2085.522275        0.096253       0.313841       58.51947       
100    240    340    -0.011433           -2084.448476        -2084.437043        0.084193       0.315201       60.19076       
100    242    342    -0.014974           -2083.172336        -2083.157362        0.060113       0.314559       61.878502      
100    244    344    -0.007105           -2081.730946        -2081.723841        0.128634       0.334046       63.503181      
100    260    360    -0.019919           -2067.428889        -2067.40897         0.025264       0.002906       0.15863        
100    262    362    -0.083835           -2064.228594        -2064.144759        0.043966       0.006483       0.229488       
100    264    364    -0.152655           -2060.657692        -2060.505037        0.067378       0.032298       -0.089079      
102    154    256    0.008374            -1893.154717        -1893.163091        0.032732       0.292082       34.377694      
102    156    258    0.019612            -1905.806085        -1905.825697        0.096646       0.304535       34.68175       
102    174    276    0.00767             -1997.377917        -1997.385587        0.129508       0.342175       43.561113      
102    188    290    -0.205001           -2049.818288        -2049.613287        0.055906       0.007231       0.029206       
102    230    332    -0.01205            -2119.355714        -2119.343664        0.090961       0.287869       50.95768       
102    232    334    -0.019257           -2119.519701        -2119.500444        0.090923       0.291406       52.332129      
102    234    336    -0.033755           -2119.473614        -2119.439859        0.091575       0.295801       53.848025      
102    238    340    -0.005857           -2118.744294        -2118.738437        0.086291       0.303966       57.262036      
102    242    344    -0.009552           -2117.280738        -2117.271186        0.128627       0.325985       61.008685      
102    244    346    -0.006032           -2116.293071        -2116.287039        0.130842       0.331625       62.955307      
102    260    362    -0.040043           -2104.556221        -2104.516178        0.033686       0.003565       0.395514       
102    262    364    -0.11125            -2101.785615        -2101.674365        0.050957       0.006122       0.300274       
102    264    366    -0.138436           -2098.55774         -2098.419304        0.064286       0.011716       0.330364       
104    148    252    0.013495            -1854.675995        -1854.68949         0.017627       0.288209       33.222534      
104    154    258    0.032762            -1898.93406         -1898.966822        0.089415       0.297557       34.026936      
104    172    276    -0.000163           -2001.090832        -2001.090669        0.117422       0.310668       38.902589      
104    176    280    -0.00519            -2019.346995        -2019.341805        0.122287       0.324872       42.199146      
104    180    284    0.014549            -2036.736345        -2036.750894        0.013261       0.390885       56.827129      
104    192    296    -0.00753            -2080.204499        -2080.196969        0.127653       0.345145       50.192484      
104    198    302    -0.022489           -2097.978729        -2097.95624         0.132164       0.318241       45.888274      
104    230    334    -0.003129           -2149.234109        -2149.23098         0.080738       0.272243       48.521172      
104    232    336    -0.018564           -2149.888142        -2149.869578        0.079937       0.274268       49.516056      
104    234    338    -0.010794           -2150.286262        -2150.275468        0.085976       0.27926        50.943544      
104    250    354    -0.001259           -2147.129713        -2147.128454        0.183705       0.398146       79.546887      
104    262    366    -0.056109           -2137.993143        -2137.937034        0.040732       0.002951       0.425521       
104    264    368    -0.138507           -2135.242108        -2135.103601        0.05716        0.004382       74.344044      
106    144    250    0.022758            -1821.643573        -1821.666331        0.015383       0.283371       32.323431      
106    150    256    0.018545            -1872.391652        -1872.410197        0.077659       0.290828       33.17919       
106    166    272    -0.001082           -1980.463255        -1980.462173        0.020394       0.257528       33.566778      
106    176    282    -0.020056           -2031.552258        -2031.532202        0.113027       0.298578       38.47212       
106    200    306    -0.022867           -2122.685906        -2122.663039        0.133436       0.31399        45.919398      
106    202    308    -0.02132            -2128.450092        -2128.428772        0.131119       0.305177       44.713395      
106    230    336    -0.009961           -2177.504276        -2177.494315        0.076852       0.258764       46.491107      
106    236    342    -0.001005           -2180.160868        -2180.159863        0.065723       0.258046       48.691863      
106    238    344    -0.007071           -2180.557446        -2180.550375        0.064176       0.260505       50.054867      
106    242    348    -0.009823           -2180.767502        -2180.757679        0.126767       0.292559       53.095525      
108    148    256    0.027789            -1855.672153        -1855.699942        0.063512       0.284069       32.798792      
108    194    302    -0.000431           -2120.053811        -2120.05338         0.149294       0.373054       56.097785      
108    198    306    -0.035022           -2133.713583        -2133.678561        0.142171       0.349088       52.743487      
108    200    308    -0.019595           -2140.137937        -2140.118342        0.137997       0.333073       50.178874      
108    202    310    -0.030503           -2146.375477        -2146.344974        0.133939       0.316631       47.422749      
108    244    352    -0.006161           -2210.32022         -2210.314059        0.04547        0.242936       48.945057      
108    248    356    -0.003374           -2210.906833        -2210.903459        0.147987       0.390664       80.581363      
