Z      N      A      E_oct(MeV)          BE_gs(MeV)          BE_control(MeV)     beta3_gs       beta2_gs       Q20_control (b)
80     142    222    -0.188556           -1678.31761         -1678.129054        0.089518       -0.05169       -7.05138       
82     92     174    -0.070629           -1326.786209        -1326.71558         0.05166        0.01488        0.080536       
82     94     176    -0.057145           -1348.736169        -1348.679024        0.053112       0.023442       0.231878       
82     96     178    -0.027908           -1370.296555        -1370.268647        0.042014       0.012255       -0.19856       
82     134    216    -0.770481           -1671.890392        -1671.119911        0.08728        0.023962       0.040391       
82     136    218    -1.076587           -1679.623987        -1678.5474          0.098098       0.019106       0.060579       
82     138    220    -0.990907           -1686.757529        -1685.766622        0.097682       0.007564       0.109315       
82     140    222    -0.761423           -1693.561215        -1692.799792        0.091841       -0.014227      -2.388545      
82     142    224    -0.583988           -1700.312502        -1699.728514        0.084467       -0.035235      -3.819089      
82     144    226    -0.066493           -1706.824444        -1706.757951        0.074511       -0.043796      21.977056      
84     134    218    -0.772869           -1685.086151        -1684.313282        0.095264       0.044395       -3.971013      
84     136    220    -0.389634           -1693.531956        -1693.142322        0.103598       0.03428        7.593977       
84     192    276    -0.113327           -1829.063135        -1828.949808        0.044729       0.034389       -0.0           
84     194    278    -0.385999           -1828.383345        -1827.997346        0.068917       0.040129       5.804808       
84     196    280    -0.101138           -1827.424106        -1827.322968        0.087334       0.054823       -8.574418      
86     192    278    -0.19359            -1861.888962        -1861.695372        0.052635       0.053391       7.329937       
86     194    280    -0.020748           -1861.687337        -1861.666589        0.06291        0.070874       11.316749      
88     136    224    -0.842846           -1720.133819        -1719.290973        0.146841       0.171314       15.573799      
88     138    226    -0.096233           -1730.771853        -1730.67562         0.070692       0.190144       17.882724      
88     192    280    -0.252763           -1893.2583          -1893.005537        0.055802       0.055625       7.837929       
88     194    282    -0.011558           -1893.646321        -1893.634763        0.050969       0.077834       11.383351      
90     130    220    -0.377232           -1692.461588        -1692.084356        0.103269       0.089293       -0.101411      
90     136    226    -1.200107           -1730.874386        -1729.674279        0.174515       0.185567       18.51608       
90     138    228    -0.247144           -1742.580138        -1742.332994        0.159782       0.206362       20.698637      
90     192    282    -0.466067           -1923.186547        -1922.72048         0.063644       0.040914       4.046158       
90     194    284    -0.307304           -1924.041826        -1923.734522        0.076251       0.054433       8.956773       
92     130    222    -0.390686           -1698.09842         -1697.707734        0.110742       0.087765       -0.061343      
92     132    224    -2.54464            -1712.38438         -1709.83974         0.15531        0.128166       -0.389775      
92     136    228    -0.867584           -1739.50665         -1738.639066        0.181918       0.196058       21.144496      
92     138    230    -0.0494             -1752.486629        -1752.437229        0.163463       0.221199       22.908493      
92     192    284    -0.545621           -1951.718877        -1951.173256        0.080676       0.039814       -0.253076      
92     194    286    -0.70594            -1953.113439        -1952.407499        0.092279       0.045508       -5.116091      
92     196    288    -0.379279           -1954.204898        -1953.825619        0.092521       0.045314       11.623366      
94     130    224    -1.583094           -1702.283575        -1700.700481        0.121546       0.082897       0.109643       
94     132    226    -3.259727           -1717.312765        -1714.053038        0.159854       0.116824       -5.446648      
94     136    230    -0.332308           -1746.041849        -1745.709541        0.182428       0.206757       23.428677      
94     188    282    -0.309883           -1972.656953        -1972.34707         0.05622        0.023434       -0.074351      
94     190    284    -1.694044           -1975.77819         -1974.084146        0.095004       0.049568       -1e-06         
94     192    286    -2.175624           -1978.373821        -1976.198197        0.114736       0.061209       -6.332799      
94     194    288    -1.780668           -1980.353995        -1978.573327        0.125928       0.068295       10.965473      
94     196    290    -0.955208           -1981.881286        -1980.926078        0.134704       0.082954       13.725063      
94     198    292    -0.455325           -1983.501268        -1983.045943        0.169085       0.148331       16.796434      
96     128    224    -0.59739            -1688.324544        -1687.727154        0.0776         0.035385       -0.062198      
96     130    226    -3.109547           -1704.843251        -1701.733704        0.134792       0.08212        -2.090572      
96     132    228    -3.240768           -1720.793898        -1717.55313         0.166479       0.108106       24.648774      
96     134    230    -0.985298           -1735.530639        -1734.545341        0.193389       0.151393       24.988543      
96     186    282    -0.076128           -1991.731419        -1991.655291        0.037369       0.007736       -0.0           
96     188    284    -1.871556           -1995.803692        -1993.932136        0.098629       0.047162       -1e-06         
96     190    286    -3.212173           -1999.998726        -1996.786553        0.124333       0.065421       -7.036175      
96     192    288    -3.641795           -2003.472857        -1999.831062        0.1413         0.075766       11.479196      
96     194    290    -2.933006           -2006.16595         -2003.232944        0.154284       0.085578       14.590291      
96     196    292    -1.948681           -2008.365244        -2006.416563        0.167222       0.10295        17.648724      
96     198    294    -0.738562           -2010.415456        -2009.676894        0.185468       0.141132       25.8536        
98     126    224    -0.127862           -1670.879645        -1670.751783        0.044158       0.007604       -0.0           
98     128    226    -1.386108           -1687.923809        -1686.537701        0.105359       0.043982       1e-06          
98     130    228    -3.320692           -1705.365536        -1702.044844        0.148692       0.083909       -6.767022      
98     132    230    -2.771522           -1722.398068        -1719.626546        0.178246       0.109384       28.332228      
98     134    232    -0.897409           -1738.137436        -1737.240027        0.201054       0.1454         27.418389      
98     186    284    -0.786622           -2012.147216        -2011.360594        0.081967       0.025132       -1e-06         
98     188    286    -2.771411           -2017.010077        -2014.238666        0.117794       0.052339       -4e-06         
98     190    288    -3.733164           -2022.018161        -2018.284997        0.142079       0.071315       -9.001665      
98     192    290    -4.024558           -2026.332386        -2022.307828        0.158262       0.082296       14.326189      
98     194    292    -3.123718           -2029.767643        -2026.643925        0.172565       0.094329       17.754135      
98     196    294    -1.867603           -2032.675918        -2030.808315        0.19           0.11744        22.058038      
98     198    296    -0.742394           -2035.591402        -2034.849008        0.203473       0.151673       26.417402      
98     232    330    -0.001086           -2063.123657        -2063.122571        0.02045        -0.157855      -30.091182     
98     234    332    -0.003145           -2063.48078         -2063.477635        0.020995       -0.155181      -29.978777     
98     236    334    -0.004634           -2063.673587        -2063.668953        0.019822       -0.151998      -29.660847     
98     238    336    -0.002444           -2063.674983        -2063.672539        0.016156       -0.148155      -29.038017     
98     262    360    -0.793298           -2051.999736        -2051.206438        0.073025       0.029274       5.106752       
100    126    226    -0.424707           -1667.839364        -1667.414657        0.072548       0.01615        -0.0           
100    128    228    -1.677685           -1685.731214        -1684.053529        0.114841       0.040752       0.0            
100    130    230    -2.771575           -1704.028309        -1701.256734        0.161825       0.087002       -28.38208      
100    132    232    -2.330676           -1722.140088        -1719.809412        0.190709       0.113667       31.276294      
100    134    234    -0.818346           -1738.946877        -1738.128531        0.208577       0.148215       29.332798      
100    184    284    -0.188844           -2025.615832        -2025.426988        0.054462       0.006971       -0.0           
100    186    286    -1.116535           -2030.961859        -2029.845324        0.094739       0.025149       -1e-06         
100    188    288    -2.763217           -2036.392677        -2033.62946         0.128262       0.052051       -6.063097      
100    194    294    -2.884498           -2051.460609        -2048.576111        0.186579       0.100605       20.538006      
100    196    296    -1.508376           -2055.125996        -2053.61762         0.204291       0.128259       24.48813       
100    198    298    -0.515849           -2058.903528        -2058.387679        0.210811       0.16452        27.428457      
100    234    334    -0.011277           -2095.594121        -2095.582844        0.031339       -0.158754      -31.509579     
100    236    336    -0.010799           -2096.234421        -2096.223622        0.030043       -0.155621      -31.196085     
100    238    338    -0.009771           -2096.642741        -2096.63297         0.027179       -0.151718      -30.607105     
100    240    340    -0.001043           -2096.783183        -2096.78214         0.021983       -0.146885      -29.676456     
100    242    342    -0.000629           -2096.698372        -2096.697743        0.010001       -0.141499      -28.355001     
100    250    350    -0.003381           -2095.091151        -2095.08777         0.010548       -0.087248      -18.480285     
100    260    360    -0.184675           -2091.305894        -2091.121219        0.046854       0.007827       -0.038802      
100    262    362    -1.21341            -2088.672406        -2087.458996        0.085882       0.031951       -0.401086      
100    264    364    -2.059658           -2086.61799         -2084.558332        0.110054       0.055801       13.490335      
102    128    230    -1.473653           -1681.824847        -1680.351194        0.11509        0.032841       -0.288046      
102    130    232    -1.761533           -1701.055304        -1699.293771        0.170638       0.088942       -28.752601     
102    132    234    -2.482594           -1720.092481        -1717.609887        0.19753        0.113566       -30.079519     
102    134    236    -0.132561           -1737.713969        -1737.581408        0.206996       0.155933       33.329837      
102    182    284    -0.047426           -2034.515975        -2034.468549        0.025211       0.002086       -4.2e-05       
102    184    286    -0.253174           -2042.340268        -2042.087094        0.061864       0.004652       -1e-06         
102    186    288    -1.095947           -2048.214804        -2047.118857        0.097038       0.019704       -2e-06         
102    188    290    -2.492248           -2054.179444        -2051.687196        0.133957       0.050871       -6.923159      
102    190    292    -3.738302           -2060.710007        -2056.971705        0.163364       0.076892       -10.892002     
102    192    294    -3.637289           -2066.557056        -2062.919767        0.181094       0.088744       18.565439      
102    194    296    -2.576055           -2071.416316        -2068.840261        0.192823       0.099186       23.314831      
102    196    298    -0.955986           -2075.60762         -2074.651634        0.207625       0.12604        26.79556       
102    214    316    -0.004081           -2113.097516        -2113.093435        0.073386       0.256546       42.289108      
102    226    328    -0.001332           -2124.463577        -2124.462245        0.075305       0.245719       42.897384      
102    228    330    -0.007617           -2125.316867        -2125.30925         0.07417        0.24162        42.571708      
102    230    332    -0.006093           -2125.947457        -2125.941364        0.072768       0.236556       42.012739      
102    232    334    -0.001393           -2126.321548        -2126.320155        0.07043        0.229301       41.159595      
102    234    336    -0.004362           -2126.488439        -2126.484077        0.054965       0.210733       39.356477      
102    240    342    -0.009237           -2128.667971        -2128.658734        0.028114       -0.14918       -30.735446     
102    242    344    -0.000288           -2128.956734        -2128.956446        0.018677       -0.143498      -29.332671     
102    260    362    -0.280629           -2126.343869        -2126.06324         0.057123       0.008952       0.148908       
102    262    364    -1.274125           -2124.000752        -2122.726627        0.090567       0.030358       0.306951       
102    264    366    -2.220276           -2122.440205        -2120.219929        0.117433       0.056465       14.297955      
104    182    286    -0.015552           -2049.494918        -2049.479366        0.015573       -0.000696      -4.9e-05       
104    184    288    -0.186201           -2057.772304        -2057.586103        0.057882       -0.000327      -1e-06         
104    186    290    -0.86312            -2064.117832        -2063.254712        0.091942       0.01015        -2e-06         
104    188    292    -2.114652           -2070.553451        -2068.438799        0.135922       0.047787       -7.08592       
104    190    294    -3.346688           -2077.691404        -2074.344716        0.167797       0.075175       -11.719384     
104    192    296    -3.274036           -2084.171238        -2080.897202        0.180463       0.083256       20.485959      
104    194    298    -1.717603           -2089.661268        -2087.943665        0.191639       0.090859       53.109661      
104    196    300    -0.362911           -2094.339316        -2093.976405        0.206287       0.11591        51.698753      
104    212    316    -0.002782           -2134.451956        -2134.449174        0.07128        0.250278       40.984686      
104    214    318    -0.014809           -2138.136128        -2138.121319        0.075135       0.25532        42.190115      
104    216    320    -0.018031           -2141.57777         -2141.559739        0.077447       0.258559       43.16566       
104    236    340    -0.028148           -2157.126293        -2157.098145        0.054067       0.188113       34.737884      
104    238    342    -0.018722           -2158.226085        -2158.207363        0.036468       -0.155581      -32.460491     
104    240    344    -0.012517           -2159.149763        -2159.137246        0.031497       -0.150337      -31.401492     
104    260    364    -0.243401           -2160.243869        -2160.000468        0.056657       0.006647       0.257855       
104    262    366    -1.144912           -2158.161333        -2157.016421        0.091457       0.026831       0.935065       
104    264    368    -2.217245           -2157.001685        -2154.78444         0.120636       0.053929       14.321757      
106    184    290    -0.05924            -2071.978184        -2071.918944        0.042158       -0.00283       -1e-06         
106    186    292    -0.569324           -2078.780716        -2078.211392        0.084463       0.004505       -1e-06         
106    188    294    -1.696556           -2085.669365        -2083.972809        0.132985       0.041797       -18.123821     
106    190    296    -2.770549           -2093.304656        -2090.534107        0.165539       0.068518       -18.688549     
106    192    298    -2.924788           -2100.372727        -2097.447939        0.180438       0.076852       22.028728      
106    212    318    -0.002642           -2157.284922        -2157.28228         0.071383       0.245655       40.472097      
106    214    320    -0.012785           -2161.436042        -2161.423257        0.074252       0.248969       41.388155      
106    216    322    -0.02038            -2165.335124        -2165.314744        0.07653        0.251936       42.276464      
106    234    340    -0.009277           -2185.529891        -2185.520614        0.055045       0.208115       39.008934      
106    236    342    -0.026892           -2186.452935        -2186.426043        0.054772       0.18889        34.915384      
106    260    366    -0.149018           -2193.059885        -2192.910867        0.049282       0.004559       0.27994        
106    262    368    -0.933646           -2191.244489        -2190.310843        0.08988        0.022836       1.131348       
106    264    370    -2.158218           -2190.412898        -2188.25468         0.12102        0.049253       13.408261      
108    186    294    -0.216658           -2092.250195        -2092.033537        0.065228       -0.000876      0.0            
108    212    320    -0.012494           -2178.232938        -2178.220444        0.072838       0.245283       40.613845      
108    214    322    -0.021878           -2182.985688        -2182.96381         0.074531       0.245755       41.043852      
108    216    324    -0.021529           -2187.463508        -2187.441979        0.075882       0.246477       41.554022      
108    242    350    -0.870928           -2218.987783        -2218.116855        0.173818       0.404045       27.404784      
108    244    352    0.005127            -2220.35398         -2220.359107        0.174226       0.404732       82.702185      
108    246    354    0.003677            -2221.566398        -2221.570075        0.173993       0.40522        83.862448      
108    248    356    0.004581            -2222.586747        -2222.591328        0.173242       0.405611       85.030029      
108    262    370    -0.657389           -2223.256503        -2222.599114        0.085212       0.020007       0.894609       
108    264    372    -1.927189           -2222.761534        -2220.834345        0.119832       0.04472        -10.093083     
108    266    374    -2.611468           -2222.170281        -2219.558813        0.135754       0.055145       18.180437      
108    268    376    -2.389379           -2221.100064        -2218.710685        0.146629       0.062301       23.194685      
108    270    378    -1.662564           -2219.619278        -2217.956714        0.159546       0.080086       27.470923      
108    272    380    -0.463845           -2218.004981        -2217.541136        0.169796       0.094384       86.5241        
110    198    308    -5.717688           -2153.27292         -2147.555232        0.023393       0.36688        -51.517586     
110    200    310    -5.682512           -2160.078499        -2154.395987        0.130634       0.371167       -50.81823      
110    214    324    -0.012095           -2202.943741        -2202.931646        0.076647       0.248469       41.788572      
110    244    354    0.007934            -2247.716331        -2247.724265        0.179277       0.412367       84.819301      
110    246    356    0.014196            -2249.41644         -2249.430636        0.179946       0.410782       85.451398      
110    248    358    0.025322            -2250.935298        -2250.96062         0.179981       0.410097       86.315526      
110    250    360    0.02132             -2252.188135        -2252.209455        0.178614       0.409652       87.302176      
110    252    362    0.031727            -2253.072294        -2253.104021        0.032431       0.388089       88.268893      
110    262    372    -0.300046           -2254.180944        -2253.880898        0.073177       0.018169       0.580423       
110    264    374    -1.629785           -2254.036821        -2252.407036        0.116907       0.041849       -9.100187      
110    266    376    -2.4948             -2253.840966        -2251.346166        0.133817       0.050541       -13.300521     
110    268    378    -2.528196           -2253.193226        -2250.66503         0.144885       0.054279       21.409932      
110    270    380    -1.800962           -2252.00446         -2250.203498        0.153669       0.055072       25.632072      
110    276    386    -0.000369           -2248.870811        -2248.870442        0.032631       0.339664       86.392946      
112    158    270    -0.004988           -1943.225656        -1943.220668        0.071374       0.246622       30.132061      
112    194    306    -4.153204           -2151.790507        -2147.637303        0.085697       0.394821       18.812698      
112    200    312    -6.075309           -2175.162754        -2169.087445        0.137577       0.381964       -40.989169     
112    214    326    0.001089            -2221.481678        -2221.482767        0.079824       0.256413       43.533538      
112    248    360    0.026337            -2277.596032        -2277.622369        0.18149        0.419567       89.181372      
112    250    362    0.03369             -2279.305667        -2279.339357        0.065958       0.397515       89.662954      
112    264    376    -1.295504           -2284.201842        -2282.906338        0.110885       0.041056       -7.569582      
112    266    378    -2.154162           -2284.396129        -2282.241967        0.130005       0.048448       -12.403006     
112    268    380    -2.612199           -2284.181811        -2281.569612        0.14203        0.050321       19.048194      
112    270    382    -2.075948           -2283.445059        -2281.369111        0.151228       0.046481       23.157525      
114    240    354    -0.00028            -2294.56308         -2294.5628          0.025872       0.152426       30.542863      
114    242    356    -0.000762           -2297.078478        -2297.077716        0.022219       0.138719       28.028068      
114    244    358    -0.001289           -2299.40844         -2299.407151        0.017376       0.127158       26.071948      
114    264    378    -1.116717           -2313.252519        -2312.135802        0.100402       0.041889       -7.243062      
114    266    380    -1.77798            -2313.790952        -2312.012972        0.12304        0.048708       -11.6444       
114    268    382    -2.415552           -2313.980519        -2311.564967        0.136834       0.049739       -14.055307     
114    270    384    -2.167588           -2313.675426        -2311.507838        0.147372       0.044644       20.3645        
114    278    392    -0.007411           -2312.328995        -2312.321584        0.119008       0.304496       72.068264      
116    162    278    -0.054838           -1975.028537        -1974.973699        0.069129       0.224586       28.221162      
116    164    280    -0.004911           -1991.417532        -1991.412621        0.065003       0.216228       27.307755      
116    168    284    -0.006141           -2021.049832        -2021.043691        0.063774       0.198074       24.814674      
116    170    286    -0.007137           -2035.038682        -2035.031545        0.060104       0.182039       22.433237      
116    190    306    -0.838524           -2153.103602        -2152.265078        0.119886       0.06014        -8.958765      
116    194    310    -3.373902           -2173.56568         -2170.191778        0.234885       0.445632       -17.433884     
116    196    312    -1.437759           -2180.672434        -2179.234675        0.172019       0.040546       15.663572      
116    198    314    -1.271758           -2189.407814        -2188.136056        0.180972       0.002157       17.523957      
116    214    330    0.032775            -2253.993462        -2254.026237        0.028437       0.249178       45.41711       
116    236    352    -0.000292           -2310.795494        -2310.795202        0.027412       0.174431       34.871792      
116    240    356    -0.00057            -2316.98213         -2316.98156         0.023223       0.149021       30.152742      
116    242    358    -0.000872           -2319.999929        -2319.999057        0.021107       0.13413        27.20824       
116    264    380    -1.108238           -2341.169207        -2340.060969        0.089979       0.042902       -6.67533       
116    266    382    -1.609524           -2342.026221        -2340.416697        0.113456       0.050094       -11.301244     
116    268    384    -2.165593           -2342.588506        -2340.422913        0.128379       0.051224       -13.610218     
116    270    386    -2.152725           -2342.672822        -2340.520097        0.139723       0.046697       17.912022      
116    272    388    -0.162341           -2342.346181        -2342.18384         0.154613       0.025406       89.264414      
116    280    396    -0.01698            -2342.606931        -2342.589951        0.117536       0.305104       73.586023      
116    282    398    -2e-05              -2342.364352        -2342.364332        0.113788       0.298416       72.560847      
116    292    408    -0.00141            -2340.452552        -2340.451142        0.023777       0.22747        61.844408      
116    298    414    -0.025345           -2337.276525        -2337.25118         0.085761       0.243788       63.845243      
116    300    416    -0.024319           -2335.7849          -2335.760581        0.085312       0.24344        64.421279      
118    162    280    -0.000364           -1972.157095        -1972.156731        0.059629       0.227843       29.509821      
118    164    282    -0.003719           -1989.176282        -1989.172563        0.062172       0.218002       28.12644       
118    166    284    -0.004972           -2005.022006        -2005.017034        0.062469       0.206252       26.458804      
118    188    306    -0.336416           -2150.578741        -2150.242325        0.068969       0.038036       -0.021261      
118    190    308    -1.038229           -2161.197726        -2160.159497        0.114714       0.059067       -9.244385      
118    192    310    -1.4701             -2171.555587        -2170.085487        0.136663       0.06526        -17.120456     
118    194    312    -1.818104           -2181.341614        -2179.52351         0.149477       0.064222       -17.954833     
118    196    314    -1.798083           -2190.414961        -2188.616878        0.158919       0.051459       13.781267      
118    200    318    -3.36725            -2210.66362         -2207.29637         0.189271       0.424948       16.651795      
