 Symbol     Z      N      A       Binding_Energy_(MeV)    Fermi_Energy_P_(MeV)    Fermi_Energy_N_(MeV)    Quad_Def_Beta2_P     Quad_Def_Beta2_N     Quad_Def_Beta2_total   Quad_Moment_Q2_P_(fm^2)    Quad_Moment_Q2_N_(fm^2)    Quad_Moment_Q2_total_(fm^2)     Pairing_gap_P_(MeV)     Pairing_gap_N_(MeV)   RMS_radius_P_(fm)    RMS_radius_N_(fm)    RMS_radius_total_(fm)    Neutron_skin_(fm)    Charge_Radius_(fm)     S_p_(MeV)      S_{2p}_(MeV)     S_n_(MeV)     S_{2n}_(MeV)     Q_{alpha}_(MeV)       
   He       2      2      4            -29.983718              -10.558154              -11.478886             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.597249                5.649244              1.956656             1.948751               1.952708              -0.007906              2.124713           No_Data         No_Data         No_Data        No_Data            No_Data            
   He       2      4      6            -36.159424              -18.715632               -4.272001             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   5.015006                3.725048              1.972735             2.389867               2.259396               0.417133              2.112223           No_Data         No_Data        7.775000       6.175707            No_Data            
   He       2      6      8            -37.137744              -24.327412               -1.157699             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   4.718873                3.265396              2.021843             2.737245               2.577081               0.715403              2.131092           No_Data         No_Data        3.984382       0.978320            No_Data            
   Be       4      2      6            -33.472573               -2.530237              -19.452857             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000000                   3.600581                5.103016              2.429629             1.971746               2.287209              -0.457883              2.589421          6.343343        3.488855         No_Data        No_Data            No_Data            
   Be       4      4      8            -56.070979               -9.395810              -11.194073             0.000001             0.000001               0.000001               0.000000                   0.000000                      0.000000                   3.335483                3.398626              2.311636             2.294974               2.303320              -0.016663              2.455517         14.131023       19.911555       15.550025      22.598407           2.212739            
   Be       4      6      10           -70.290303              -15.263610               -6.628939             0.000001             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.947363                3.324252              2.316687             2.521353               2.441546               0.204667              2.460273         20.409398       33.152559       10.471101      14.219324          -5.830879            
   Be       4      8      12           -76.084841              -19.943264               -2.916974             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.659694                2.870412              2.356532             2.757826               2.630871               0.401295              2.474479         24.677583       42.186340        5.994602       5.794539         -10.647098            
   C        6      4      10           -65.861318               -4.112961              -16.965460             0.000001             0.000000               0.000001               0.000000                   0.000000                      0.000001                   3.178553                3.000986              2.559241             2.308732               2.462098              -0.250510              2.711405          8.152188        9.790339       21.669426      35.594818          -4.088746            
   C        6      6      12           -92.566650               -9.367937              -11.935334             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.948179                3.110596              2.513691             2.491339               2.502540              -0.022353              2.646610         14.085945       22.276348       16.408457      26.705332          -8.195671            
   C        6      8      14          -108.761114              -14.114237               -7.220082             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.792835                2.847825              2.530573             2.675358               2.614289               0.144786              2.662650         19.064402       32.676274       11.076443      16.194465         -10.170812            
   C        6      10     16          -116.246051              -18.177819               -4.380843             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.613274                2.328075              2.556588             2.851683               2.744743               0.295095              2.687386         22.821258       40.484175        6.330419       7.484937         -11.861210            
   C        6      12     18          -121.342826              -21.698440               -3.109937            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.422628                2.279811              2.580699             3.009372               2.873595               0.428673              2.688831         26.159641       47.544642        4.852331       5.096776         -17.280951            
   C        6      14     20          -125.196855              -24.796880               -1.939631            -0.000002            -0.000001              -0.000001              -0.000001                  -0.000002                     -0.000003                   2.269491                2.185040              2.605246             3.159869               3.004253               0.554623              2.712399         29.030362       53.593182        4.159441       3.854029         -23.098671            
   C        6      16     22          -126.590755              -27.382752               -0.430021            -0.000001            -0.000001              -0.000001              -0.000001                  -0.000001                     -0.000002                   2.156356                2.155340              2.636815             3.314258               3.144011               0.677444              2.742735         31.570886       58.905568        2.867141       1.393901         -26.687082            
   O        8      4      12           -66.302259                0.121321              -21.357408             0.000000             0.000001               0.000000               0.000000                   0.000000                      0.000000                   2.727645                2.778434              2.831762             2.355097               2.682302              -0.476665              2.969996          3.173570        0.440942       25.508532      43.702197          -7.735760            
   O        8      6      14          -102.971022               -3.965690              -16.611451             0.000000             0.000000               0.000000               0.000000                   0.000000                      0.000000                   2.737302                2.886444              2.715886             2.517492               2.632692              -0.198394              2.859727          8.044927       10.404373       21.166821      36.668763          -8.809705            
