Z      N      A      E_soft(MeV)         BE_b3=0 (MeV)       BE_b3=0.01 (MeV)    beta2          beta3 (0.01)   delta_beta2    CONV     
68     134    202    0.074036            -1487.116386        -1487.04235         0.144526       0.01           -0.004143      YES
68     162    230    0.4382              -1497.793081        -1497.354881        0.24096        0.01           -0.030689      YES
68     164    232    0.648387            -1495.68446         -1495.036073        0.223343       0.01           -0.034596      YES
68     170    238    0.445497            -1488.516482        -1488.070985        0.184286       0.01           -0.031415      YES
70     86     156    0.028379            -1254.353735        -1254.325356        0.146073       0.01           -0.011019      YES
70     164    234    0.65848             -1537.91017         -1537.25169         0.217512       0.01           -0.033988      YES
70     166    236    0.619259            -1536.54387         -1535.924611        0.206721       0.01           -0.033191      YES
70     168    238    0.528943            -1534.866732        -1534.337789        0.194451       0.01           -0.032188      YES
70     170    240    0.421016            -1532.712794        -1532.291778        0.178358       0.01           -0.030034      YES
72     86     158    0.032104            -1258.551973        -1258.519869        0.143022       0.01           -0.008957      YES
72     166    238    0.525796            -1577.204593        -1576.678797        0.197216       0.01           -0.031973      YES
72     168    240    0.506625            -1576.320218        -1575.813593        0.18492        0.01           -0.030718      YES
72     174    246    0.414038            -1570.984936        -1570.570898        0.132625       0.01           -0.020632      YES
82     140    222    -0.002712           -1681.258004        -1681.260716        2e-06          0.01           -0.000279      YES
84     134    218    0.045231            -1676.440463        -1676.395232        0.098647       0.01           -0.002224      YES
84     156    240    0.144515            -1752.421003        -1752.276488        0.230152       0.01           -0.026525      YES
84     160    244    0.129134            -1762.273228        -1762.144094        0.210691       0.01           -0.028132      YES
84     162    246    0.125856            -1766.507192        -1766.381336        0.195711       0.01           -0.027848      YES
84     196    280    0.091987            -1792.381058        -1792.289071        0.098445       0.01           -0.008398      YES
86     130    216    -0.001765           -1669.305557        -1669.307322        0.07573        0.01           -0.001678      YES
86     132    218    0.013911            -1679.428112        -1679.414201        0.106404       0.01           -0.01317       YES
86     134    220    0.178898            -1689.048337        -1688.869439        0.126218       0.009701       -0.014565      NO
